mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
2	2	4	4	2.0	0	0	4/4	3	1	c.Ger43(^2)/v{	c	i		Ger43(^2)/v	Ger	vii	o	43	b3^2	V/v		{	Ger	1	1	1, -2, 7, 2		7	1
2	2	6	6	4.0	1/2	1/2	4/4	3	1	Ger43/v	c	i		Ger43/v	Ger	vii	o	43	b3	V/v			Ger	1	1	1, -2, 7, -3		7	1
3	3	10	10	4.0	1/2	1/2	4/4	3	1	v[v(^2)	c	i	v	v(^2)		v			^2				m	1	1	1, -4, 2		1	1
4	4	14	14	6.0	1/2	1/2	4/4	3	1	v	c	i	v	v		v							m	1	1	1, -2, 2		1	1
6	6	20	20	6.0	0	0	4/4	3	1	VI64	c	i	v	VI64		VI		64					M	1	1	-3, -4, 0		-4	-3
7	7	26	26	2.0	1/2	1/2	4/4	3	1	Ger2	c	i	v	Ger2	Ger	vii	o	2	b3	V			Ger	1	1	-3, 6, -4, 0		6	-3
8	8	28	28	4.0	0	0	4/4	3	1	V65/III	c	i	v	V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
9	9	32	32	2.0	0	0	4/4	3	1	IV6/III]	c	i	v	IV6/III		IV		6		III			M	1	1	0, -3, -4		-4	0
9	9	34	34	1.0	1/2	1/2	4/4	3	1	IV6(#2)/III	c	i		IV6(#2)/III		IV		6	#2	III			M	1	1	5, -3, -4		-4	5
9	9	35	35	1.0	3/4	3/4	4/4	3	1	IV6/III	c	i		IV6/III		IV		6		III			M	1	1	0, -3, -4		-4	0
10	10	36	36	4.0	0	0	4/4	3	1	V65/III	c	i		V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
11	11	40	40	6.0	0	0	4/4	3	1	V43(^#11)/III	c	i		V43(^#11)/III		V		43	^#11	III			Mm7	1	1	-1, -4, -2, 2	4	-2	-1
12	12	46	46	2.0	1/2	1/2	4/4	3	2	iv2	c	i		iv2		iv		2					mm7	1	1	-3, -1, -4, 0		-1	-3
13	13	48	48	0.0	0	0	4/4	3	1	bII(^11)	c	i		bII(^11)		bII			^11				M	1	1	-5, -1, -4	1	-5	-5
13	13	48	48	8.0	0	0	4/4	3	1	bII}	c	i		bII		bII						}	M	1	1	-5, -1, -4		-5	-5
15	15	56	56	4.0	0	0	4/4	3	1	I.I(13){	c	I		I(13)		I			13			{	M	1	0	0, 4, 1	3	0	0
16	16	60	60	2.0	0	0	4/4	3	1	vi(13)	c	I		vi(13)		vi			13				m	1	0	3, 0, 4	-1	3	3
16	16	62	62	2.0	1/2	1/2	4/4	3	1	vi	c	I		vi		vi							m	1	0	3, 0, 4		3	3
17	17	64	64	1.0	0	0	4/4	3	1	ii7(119)	c	I		ii7(119)		ii		7	119				mm7	1	0	2, -1, 3, 0	1, 4	2	2
17	17	65	65	3.0	1/4	1/4	4/4	3	1	ii7	c	I		ii7		ii		7					mm7	1	0	2, -1, 3, 0		2	2
18	18	68	68	2.0	0	0	4/4	3	2	ii(#7)	c	I		ii(#7)		ii			#7				m	1	0	2, -1, 3	7	2	2
18	18	70	70	2.0	1/2	1/2	4/4	3	2	ii6	c	I		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
19	19	72	72	4.0	0	0	4/4	3	2	Ger65/ii	c	I		Ger65/ii	Ger	vii	o	65	b3	V/ii			Ger	1	0	-2, 2, -1, 8		8	-2
20	20	76	76	4.0	0	0	4/4	3	1	i.iv6(#7)	c	i		iv6(#7)		iv		6	#7				m	1	1	-4, 0, 4		-1	-4
21	21	80	80	4.0	0	0	4/4	3	1	iv6}	c	i		iv6		iv		6				}	m	1	1	-4, 0, -1		-1	-4
22	22	84	84	3.0	0	0	4/4	3	1	V7(13){	c	i		V7(13)		V		7	13			{	Mm7	1	1	1, 5, 2, -1	-3	1	1
22	22	87	87	1.0	3/4	3/4	4/4	3	1	V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
23	23	88	88	4.0	0	0	4/4	3	1	VI	c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
24	24	92	92	3.0	0	0	4/4	3	1	V(13)/iv	c	i		V(13)/iv		V			13	iv			M	1	1	0, 4, 1	-4	0	0
24	24	95	95	1.0	3/4	3/4	4/4	3	1	V7/iv	c	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
25	25	96	96	4.0	0	0	4/4	3	1	VI/iv	c	i		VI/iv		VI				iv			M	1	1	-5, -1, -4		-5	-5
26	26	100	100	4.0	0	0	4/4	3	1	I.#vi64/vi	c	I		#vi64/vi		#vi		64		vi			m	1	0	7, 6, 3		6	7
27	27	104	104	4.0	0	0	4/4	3	1	ii7/vi	c	I		ii7/vi		ii		7		vi			mm7	1	0	5, 2, 6, 3		5	5
28	28	108	108	2.0	0	0	4/4	3	1	#viio43/vi	c	I		#viio43/vi		#vii	o	43		vi			o7	1	0	2, -1, 8, 5		8	2
28	28	110	110	2.0	1/2	1/2	4/4	3	2	It6/IV	c	I		It6/IV	It	vii	o	6	b3	V/IV			It	1	0	-5, -1, 5		5	-5
29	29	112	112	4.0	0	0	4/4	3	1	V7	c	I		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
30	30	116	116	0.0	0	0	4/4	3	1	I+(4)	c	I		I+(4)		I	+		4				+	1	0	0, -1, 8		0	0
30	30	116	116	4.0	0	0	4/4	3	1	I+	c	I		I+		I	+						+	1	0	0, 4, 8		0	0
31	31	120	120	3.0	0	0	4/4	3	1	ii%65	c	I		ii%65		ii	%	65					%7	1	0	-1, -4, 0, 2		2	-1
31	31	123	123	1.0	3/4	3/4	4/4	3	1	V7(9)/iii	c	I		V7(9)/iii		V		7	9	iii			Mm7	1	0	5, 9, 6, 3	0	5	5
32	32	124	124	3.0	0	0	4/4	3	1	iii(13)	c	I		iii(13)		iii			13				m	1	0	4, 1, 5	0	4	4
32	32	127	127	1.0	3/4	3/4	4/4	3	1	V7(9)/ii	c	I		V7(9)/ii		V		7	9	ii			Mm7	1	0	3, 7, 4, 1	-2	3	3
33	33	128	128	3.0	0	0	4/4	3	1	V(13)/V	c	I		V(13)/V		V			13	V			M	1	0	2, 6, 3	5	2	2
33	33	131	131	1.0	3/4	3/4	4/4	3	1	Ger65	c	I		Ger65	Ger	vii	o	65	b3	V			Ger	1	0	-4, 0, -3, 6		6	-4
34	34	132	132	4.0	0	0	4/4	3	1	V[I64	c	I	V	I64		I		64					M	1	0	1, 0, 4		0	1
35	35	136	136	4.0	0	0	4/4	3	1	viio7/V]	c	I	V	viio7/V		vii	o	7		V			o7	1	0	6, 3, 0, -3		6	6
36	36	140	140	0.0	0	0	4/4	3	1	V43(^13)	c	I		V43(^13)		V		43	^13				Mm7	1	0	2, -1, 1, 5	4	1	2
36	36	140	140	6.0	0	0	4/4	3	1	V43	c	I		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
37	37	146	146	2.0	1/2	1/2	3/2	3	1	Fr65/IV|EC	c	I		Fr65/IV	Fr	V		65	b5	V/IV	EC		Fr	1	0	5, -5, -1, 1		1	5
37	37	148	148	6.0	1	1	3/2	3	1	Ger6/IV	c	I		Ger6/IV	Ger	vii	o	65	b3	V/IV			Ger	1	0	-5, -1, -4, 5		5	-5
39	39	154	154	8.0	0	0	4/4	3	2	V7/bIII	c	I		V7/bIII		V		7		bIII			Mm7	1	0	-2, 2, -1, -4		-2	-2
41	41	162	162	4.0	0	0	4/4	3	1	II.V[I}{	c	II	V	I		I						}{	M	1	0	0, 4, 1		0	0
42	42	166	166	2.0	0	0	4/4	3	1	IV64(11)	c	II	V	IV64(11)		IV		64	11				M	1	0	0, -1, 3	5	-1	0
42	42	168	168	6.0	1/2	1/2	4/4	3	1	IV]	c	II	V	IV		IV							M	1	0	-1, 3, 0		-1	-1
44	44	174	174	2.0	0	0	4/4	3	2	#viio7/vi	c	II		#viio7/vi		#vii	o	7		vi			o7	1	0	8, 5, 2, -1		8	8
44	44	176	176	1.0	1/2	1/2	4/4	3	2	vi(9)	c	II		vi(9)		vi			9				m	1	0	3, 0, 4	5	3	3
44	44	177	177	1.0	3/4	3/4	4/4	3	2	vi	c	II		vi		vi							m	1	0	3, 0, 4		3	3
45	45	178	178	0.0	0	0	4/4	3	1	V65(#119)	c	II		V65(#119)		V		65	#119				Mm7	1	0	5, 2, -1, 1	7, 3	1	5
45	45	178	178	6.0	0	0	4/4	3	1	V65(b9)	c	II		V65(b9)		V		65	b9				Mm7	1	0	5, 2, -1, 1	-4	1	5
46	46	184	184	2.0	1/2	1/2	4/4	3	1	v.i6(#7)	c	v		i6(#7)		i		6	#7				m	1	1	-3, 1, 5		0	-3
47	47	186	186	8.0	0	0	4/4	3	1	i6	c	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
49	49	194	194	4.0	0	0	4/4	3	1	V[VI6}{	c	v	V	VI6		VI		6				}{	M	1	1	0, -3, -4		-4	0
50	50	198	198	4.0	0	0	4/4	3	1	Ger43	c	v	V	Ger43	Ger	vii	o	43	b3	V			Ger	1	1	0, -3, 6, -4		6	0
51	51	202	202	1.0	0	0	4/4	3	2	v(11b97)	c	v	V	v(11b97)		v			11b97				m	1	1	1, -2, 2	0, -11, -1	1	1
51	51	203	203	3.0	1/4	1/4	4/4	3	2	v(b97)	c	v	V	v(b97)		v			b97				m	1	1	1, -2, 2	-11, -1	1	1
52	52	206	206	2.0	0	0	4/4	3	2	VI6]	c	v	V	VI6		VI		6					M	1	1	0, -3, -4		-4	0
52	52	208	208	2.0	1/2	1/2	4/4	3	1	iv6	c	v		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
53	53	210	210	1.0	0	0	4/4	3	3	viio7/III	c	v		viio7/III		vii	o	7		III			o7	1	1	2, -1, -4, -7		2	2
53	53	211	211	1.0	1/4	1/4	4/4	3	3	V7/VI	c	v		V7/VI		V		7		VI			Mm7	1	1	-3, 1, -2, -5		-3	-3
53	53	212	212	1.0	1/2	1/2	4/4	3	3	iv64	c	v		iv64		iv		64					m	1	1	0, -1, -4		-1	0
53	53	213	213	1.0	3/4	3/4	4/4	3	3	V2/VI	c	v		V2/VI		V		2		VI			Mm7	1	1	-5, -3, 1, -2		-3	-5
54	54	214	214	4.0	0	0	4/4	3	2	V7(b6)/III	c	v		V7(b6)/III		V		7	b6	III			Mm7	1	1	-2, 2, -6, -4		-2	-2
55	55	218	218	4.0	0	0	4/4	3	1	IV/bII	c	v		IV/bII		IV				bII			M	1	1	-6, -2, -5		-6	-6
56	56	222	222	3.0	0	0	4/4	3	1	V7(b13)/VI	c	v		V7(b13)/VI		V		7	b13	VI			Mm7	1	1	-3, 1, -2, -5	-7	-3	-3
56	56	225	225	1.0	3/4	3/4	4/4	3	1	V7/VI	c	v		V7/VI		V		7		VI			Mm7	1	1	-3, 1, -2, -5		-3	-3
57	57	226	226	4.0	0	0	4/4	3	1	vi7/i	c	v		vi7/i		vi		7		i			mm7	1	1	-4, -7, -3, -6		-4	-4
58	58	230	230	4.0	0	0	4/4	3	1	I.iii64	c	I		iii64		iii		64					m	1	0	5, 4, 1		4	5
59	59	234	234	4.0	0	0	4/4	3	1	vi7	c	I		vi7		vi		7					mm7	1	0	3, 0, 4, 1		3	3
60	60	238	238	4.0	0	0	4/4	3	1	ii%7	c	I		ii%7		ii	%	7					%7	1	0	2, -1, -4, 0		2	2
61	61	242	242	4.0	0	0	4/4	3	1	V7(13)	c	I		V7(13)		V		7	13				Mm7	1	0	1, 5, 2, -1	4	1	1
62	62	246	246	3.0	0	0	4/4	3	1	I+	c	I		I+		I	+						+	1	0	0, 4, 8		0	0
62	62	249	249	1.0	3/4	3/4	4/4	3	1	iii7	c	I		iii7		iii		7					mm7	1	0	4, 1, 5, 2		4	4
63	63	250	250	3.0	0	0	4/4	3	1	ii65	c	I		ii65		ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
63	63	253	253	1.0	3/4	3/4	4/4	3	1	V7(9)/iii	c	I		V7(9)/iii		V		7	9	iii			Mm7	1	0	5, 9, 6, 3	0	5	5
64	64	254	254	3.0	0	0	4/4	3	2	I6	c	I		I6		I		6					M	1	0	4, 1, 0		0	4
64	64	257	257	1.0	3/4	3/4	4/4	3	2	V7(9)/ii	c	I		V7(9)/ii		V		7	9	ii			Mm7	1	0	3, 7, 4, 1	-2	3	3
65	65	258	258	3.0	0	0	4/4	3	2	V(6)/V	c	I		V(6)/V		V			6	V			M	1	0	2, 6, 5		2	2
65	65	261	261	1.0	3/4	3/4	4/4	3	2	Ger65	c	I		Ger65	Ger	vii	o	65	b3	V			Ger	1	0	-4, 0, -3, 6		6	-4
66	66	262	262	6.0	0	0	4/4	3	2	V(64)	c	I		V(64)		V			64				M	1	0	1, 0, 4		1	1
67	67	268	268	2.0	1/2	1/2	4/4	3	1	#viio7/ii	c	I		#viio7/ii		#vii	o	7		ii			o7	1	0	7, 4, 1, -2		7	7
68	68	270	270	0.0	0	0	4/4	3	1	V43(13)	c	I		V43(13)		V		43	13				Mm7	1	0	2, -1, 1, 5	4	1	2
68	68	270	270	6.0	0	0	4/4	3	1	V43	c	I		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
70	70	276	276	2.0	0	0	4/4	3	1	Fr6/iv|EC	c	I		Fr6/iv	Fr	V		43	b5	V/iv	EC		Fr	1	0	-5, -1, 1, 5		1	-5
70	70	278	278	6.0	1/2	1/2	4/4	3	1	Ger6/iv	c	I		Ger6/iv	Ger	vii	o	65	b3	V/iv			Ger	1	0	-5, -1, -4, 5		5	-5
72	72	284	284	4.0	0	0	4/4	3	1	Ger43	c	I		Ger43	Ger	vii	o	43	b3	V			Ger	1	0	0, -3, 6, -4		6	0
73	73	288	288	8.0	0	0	4/4	3	1	i}	c	I		i		i						}	m	1	0	0, -3, 1		0	0
